Site,Year,Cultivar,Cultivation,DOY,LAI,R460,R560,R660,R800,MTVI1,NDVI,OSAVI,RDVI
CNU,2018,Ilmichal,Rotary,227,1.13,0.042,0.098,0.086,0.356,0.41,0.61,0.45,0.41
CNU,2018,Ilmichal,Rotary,234,1.47,0.032,0.076,0.058,0.379,0.49,0.74,0.54,0.49
CNU,2018,Ilmichal,Rotary,241,1.86,0.022,0.057,0.032,0.387,0.55,0.85,0.61,0.55
CNU,2018,Ilmichal,Rotary,249,2.16,0.022,0.057,0.032,0.377,0.53,0.84,0.61,0.54
CNU,2018,Ilmichal,Rotary,262,2.1,0.032,0.074,0.045,0.5,0.7,0.83,0.64,0.62
CNU,2018,Ilmichal,Rotary,276,2.19,0.024,0.06,0.042,0.331,0.44,0.78,0.54,0.47
CNU,2018,Ilmichal,Rotary,285,1.75,0.024,0.06,0.049,0.309,0.39,0.73,0.5,0.44
CNU,2018,Ilmichal,Rotary,294,1.52,0.026,0.078,0.05,0.369,0.5,0.76,0.55,0.49
CNU,2018,Ilmichal,Rotary+tillage,227,1.4,0.04,0.096,0.076,0.386,0.48,0.67,0.5,0.46
CNU,2018,Ilmichal,Rotary+tillage,234,1.68,0.028,0.071,0.047,0.4,0.55,0.79,0.58,0.53
CNU,2018,Ilmichal,Rotary+tillage,241,2.1,0.023,0.06,0.032,0.417,0.6,0.86,0.63,0.57
CNU,2018,Ilmichal,Rotary+tillage,249,2.24,0.02,0.051,0.028,0.356,0.51,0.86,0.6,0.53
CNU,2018,Ilmichal,Rotary+tillage,262,2.22,0.022,0.053,0.032,0.362,0.51,0.84,0.6,0.53
CNU,2018,Ilmichal,Rotary+tillage,276,2,0.024,0.061,0.046,0.339,0.44,0.76,0.54,0.47
CNU,2018,Ilmichal,Rotary+tillage,285,1.87,0.023,0.062,0.048,0.283,0.36,0.71,0.48,0.41
CNU,2018,Ilmichal,Rotary+tillage,294,1.67,0.024,0.072,0.048,0.358,0.49,0.76,0.55,0.49
CNU,2018,Ilmichal,Rotary+tillage,227,1.36,0.04,0.1,0.079,0.342,0.41,0.63,0.45,0.41
CNU,2018,Ilmichal,Rotary+tillage,234,1.74,0.025,0.071,0.039,0.414,0.59,0.83,0.61,0.56
CNU,2018,Ilmichal,Rotary+tillage,241,2.25,0.03,0.071,0.041,0.415,0.58,0.82,0.61,0.55
CNU,2018,Ilmichal,Rotary+tillage,249,2.24,0.025,0.066,0.034,0.43,0.62,0.85,0.63,0.58
CNU,2018,Ilmichal,Rotary+tillage,262,2.23,0.027,0.067,0.038,0.443,0.63,0.84,0.63,0.58
CNU,2018,Ilmichal,Rotary+tillage,276,1.98,0.032,0.09,0.059,0.446,0.6,0.77,0.58,0.54
CNU,2018,Ilmichal,Rotary+tillage,285,1.93,0.028,0.082,0.061,0.315,0.4,0.68,0.47,0.41
CNU,2018,Ilmichal,Rotary+tillage,294,1.71,0.027,0.095,0.066,0.411,0.54,0.72,0.54,0.5
CNU,2018,Ilmichal,Rotary,227,1.16,0.039,0.094,0.07,0.378,0.48,0.69,0.51,0.46
CNU,2018,Ilmichal,Rotary,234,1.65,0.027,0.068,0.045,0.385,0.53,0.79,0.58,0.52
CNU,2018,Ilmichal,Rotary,241,2.34,0.026,0.07,0.037,0.419,0.6,0.84,0.62,0.57
CNU,2018,Ilmichal,Rotary,249,2.32,0.025,0.064,0.034,0.431,0.62,0.85,0.63,0.58
CNU,2018,Ilmichal,Rotary,262,2.72,0.029,0.07,0.043,0.425,0.59,0.82,0.61,0.56
CNU,2018,Ilmichal,Rotary,276,2.32,0.029,0.073,0.055,0.421,0.55,0.77,0.57,0.53
CNU,2018,Ilmichal,Rotary,285,1.93,0.031,0.087,0.061,0.382,0.5,0.72,0.53,0.48
CNU,2018,Ilmichal,Rotary,294,1.7,0.035,0.094,0.076,0.38,0.47,0.67,0.49,0.45
CNU,2018,Kwangpyoungok,Rotary,227,1.29,0.033,0.079,0.051,0.421,0.58,0.78,0.59,0.54
CNU,2018,Kwangpyoungok,Rotary,234,1.48,0.028,0.071,0.044,0.428,0.6,0.81,0.61,0.56
CNU,2018,Kwangpyoungok,Rotary,241,1.65,0.023,0.061,0.032,0.465,0.67,0.87,0.66,0.62
CNU,2018,Kwangpyoungok,Rotary,249,2.11,0.02,0.051,0.027,0.413,0.59,0.88,0.64,0.58
CNU,2018,Kwangpyoungok,Rotary,262,2.41,0.023,0.049,0.035,0.395,0.54,0.84,0.61,0.55
CNU,2018,Kwangpyoungok,Rotary,276,2.15,0.021,0.054,0.036,0.363,0.5,0.82,0.59,0.52
CNU,2018,Kwangpyoungok,Rotary,285,1.98,0.016,0.038,0.025,0.306,0.43,0.85,0.57,0.49
CNU,2018,Kwangpyoungok,Rotary,294,1.25,0.033,0.102,0.071,0.377,0.49,0.68,0.5,0.46
CNU,2018,Kwangpyoungok,Rotary+tillage,227,1.34,0.035,0.085,0.066,0.32,0.39,0.66,0.46,0.41
CNU,2018,Kwangpyoungok,Rotary+tillage,234,1.6,0.024,0.064,0.038,0.385,0.54,0.82,0.6,0.53
CNU,2018,Kwangpyoungok,Rotary+tillage,241,1.75,0.019,0.052,0.026,0.392,0.57,0.88,0.63,0.57
CNU,2018,Kwangpyoungok,Rotary+tillage,249,2.42,0.024,0.062,0.036,0.432,0.61,0.85,0.63,0.58
CNU,2018,Kwangpyoungok,Rotary+tillage,262,2.29,0.025,0.058,0.04,0.415,0.57,0.82,0.61,0.56
CNU,2018,Kwangpyoungok,Rotary+tillage,276,2.14,0.021,0.057,0.034,0.376,0.53,0.83,0.6,0.53
CNU,2018,Kwangpyoungok,Rotary+tillage,285,1.95,0.025,0.066,0.04,0.39,0.54,0.81,0.59,0.53
CNU,2018,Kwangpyoungok,Rotary+tillage,294,1.34,0.023,0.069,0.047,0.306,0.41,0.74,0.51,0.44
CNU,2018,Kwangpyoungok,Rotary+tillage,227,1.01,0.032,0.084,0.058,0.337,0.44,0.71,0.5,0.44
CNU,2018,Kwangpyoungok,Rotary+tillage,234,1.19,0.026,0.07,0.04,0.425,0.6,0.83,0.62,0.57
CNU,2018,Kwangpyoungok,Rotary+tillage,241,1.81,0.022,0.056,0.03,0.417,0.6,0.87,0.64,0.58
CNU,2018,Kwangpyoungok,Rotary+tillage,249,2.54,0.024,0.058,0.032,0.459,0.66,0.87,0.66,0.61
CNU,2018,Kwangpyoungok,Rotary+tillage,262,2.24,0.018,0.048,0.026,0.405,0.58,0.88,0.64,0.58
CNU,2018,Kwangpyoungok,Rotary+tillage,276,2.05,0.023,0.058,0.036,0.41,0.57,0.84,0.62,0.56
CNU,2018,Kwangpyoungok,Rotary+tillage,285,1.98,0.025,0.064,0.039,0.386,0.54,0.81,0.59,0.53
CNU,2018,Kwangpyoungok,Rotary+tillage,294,1.41,0.022,0.059,0.045,0.291,0.38,0.73,0.5,0.42
CNU,2018,Kwangpyoungok,Rotary,227,1.29,0.037,0.09,0.068,0.352,0.44,0.67,0.49,0.44
CNU,2018,Kwangpyoungok,Rotary,234,1.62,0.03,0.075,0.051,0.401,0.54,0.77,0.57,0.52
CNU,2018,Kwangpyoungok,Rotary,241,1.82,0.02,0.06,0.029,0.498,0.73,0.89,0.68,0.65
CNU,2018,Kwangpyoungok,Rotary,249,2.74,0.022,0.056,0.03,0.47,0.67,0.88,0.67,0.62
CNU,2018,Kwangpyoungok,Rotary,262,2.46,0.027,0.064,0.036,0.476,0.68,0.86,0.65,0.61
CNU,2018,Kwangpyoungok,Rotary,276,2.4,0.021,0.052,0.031,0.413,0.58,0.86,0.63,0.57
CNU,2018,Kwangpyoungok,Rotary,285,2.05,0.024,0.061,0.037,0.437,0.61,0.85,0.63,0.58
CNU,2018,Kwangpyoungok,Rotary,294,1.38,0.021,0.053,0.043,0.264,0.33,0.72,0.47,0.4
CNU,2018,Ilmichal,Rotary,227,0.38,0.072,0.154,0.163,0.32,0.21,0.33,0.24,0.23
CNU,2018,Ilmichal,Rotary,234,1.05,0.055,0.12,0.113,0.384,0.4,0.55,0.41,0.39
CNU,2018,Ilmichal,Rotary,241,1.46,0.026,0.068,0.044,0.342,0.47,0.77,0.55,0.48
CNU,2018,Ilmichal,Rotary,249,1.94,0.016,0.045,0.025,0.346,0.49,0.87,0.61,0.53
CNU,2018,Ilmichal,Rotary,262,2.49,0.028,0.069,0.038,0.476,0.68,0.85,0.65,0.61
CNU,2018,Ilmichal,Rotary,276,2.3,0.025,0.063,0.039,0.416,0.58,0.83,0.61,0.56
CNU,2018,Ilmichal,Rotary,285,1.96,0.024,0.066,0.042,0.386,0.53,0.8,0.59,0.53
CNU,2018,Ilmichal,Rotary,294,1.4,0.022,0.064,0.044,0.354,0.48,0.78,0.55,0.49
CNU,2018,Ilmichal,Rotary+tillage,227,0.44,0.074,0.159,0.165,0.319,0.21,0.32,0.24,0.22
CNU,2018,Ilmichal,Rotary+tillage,234,1.08,0.047,0.109,0.09,0.39,0.46,0.63,0.47,0.43
CNU,2018,Ilmichal,Rotary+tillage,241,1.68,0.025,0.067,0.038,0.377,0.53,0.82,0.59,0.53
CNU,2018,Ilmichal,Rotary+tillage,249,2.1,0.019,0.052,0.023,0.42,0.62,0.9,0.66,0.6
CNU,2018,Ilmichal,Rotary+tillage,262,2.43,0.023,0.058,0.035,0.424,0.6,0.85,0.63,0.57
CNU,2018,Ilmichal,Rotary+tillage,276,2.25,0.026,0.071,0.044,0.414,0.58,0.81,0.6,0.55
CNU,2018,Ilmichal,Rotary+tillage,285,1.91,0.024,0.067,0.043,0.343,0.47,0.78,0.55,0.48
CNU,2018,Ilmichal,Rotary+tillage,294,1.41,0.032,0.093,0.058,0.428,0.59,0.76,0.57,0.53
CNU,2018,Ilmichal,Rotary+tillage,227,0.49,0.062,0.137,0.133,0.327,0.29,0.42,0.31,0.29
CNU,2018,Ilmichal,Rotary+tillage,234,1.07,0.045,0.102,0.083,0.375,0.45,0.64,0.47,0.43
CNU,2018,Ilmichal,Rotary+tillage,241,1.67,0.025,0.069,0.038,0.375,0.53,0.82,0.59,0.52
CNU,2018,Ilmichal,Rotary+tillage,249,2.38,0.017,0.046,0.021,0.388,0.57,0.9,0.64,0.57
CNU,2018,Ilmichal,Rotary+tillage,262,2.88,0.024,0.064,0.034,0.488,0.7,0.87,0.66,0.63
CNU,2018,Ilmichal,Rotary+tillage,276,2.44,0.026,0.069,0.04,0.456,0.65,0.84,0.63,0.59
CNU,2018,Ilmichal,Rotary+tillage,285,2.16,0.024,0.067,0.041,0.411,0.57,0.82,0.61,0.55
CNU,2018,Ilmichal,Rotary+tillage,294,1.46,0.028,0.084,0.05,0.469,0.66,0.81,0.62,0.58
CNU,2018,Ilmichal,Rotary,227,0.48,0.075,0.16,0.165,0.345,0.25,0.35,0.27,0.25
CNU,2018,Ilmichal,Rotary,234,1.06,0.048,0.105,0.093,0.371,0.42,0.6,0.45,0.41
CNU,2018,Ilmichal,Rotary,241,1.63,0.021,0.057,0.034,0.335,0.47,0.82,0.57,0.5
CNU,2018,Ilmichal,Rotary,249,2.38,0.016,0.043,0.02,0.375,0.55,0.9,0.64,0.57
CNU,2018,Ilmichal,Rotary,262,2.85,0.021,0.058,0.028,0.462,0.67,0.88,0.67,0.62
CNU,2018,Ilmichal,Rotary,276,2.45,0.018,0.047,0.028,0.372,0.52,0.86,0.61,0.54
CNU,2018,Ilmichal,Rotary,285,2.17,0.022,0.054,0.034,0.38,0.53,0.83,0.6,0.54
CNU,2018,Ilmichal,Rotary,294,1.47,0.027,0.077,0.048,0.44,0.61,0.8,0.6,0.56
CNU,2018,Kwangpyoungok,Rotary,227,0.45,0.077,0.162,0.172,0.333,0.21,0.32,0.24,0.23
CNU,2018,Kwangpyoungok,Rotary,234,1.13,0.056,0.122,0.114,0.376,0.39,0.53,0.4,0.37
CNU,2018,Kwangpyoungok,Rotary,241,1.44,0.028,0.072,0.044,0.369,0.51,0.79,0.57,0.51
CNU,2018,Kwangpyoungok,Rotary,249,1.99,0.022,0.058,0.031,0.398,0.57,0.86,0.62,0.56
CNU,2018,Kwangpyoungok,Rotary,262,2.55,0.02,0.049,0.027,0.436,0.62,0.88,0.66,0.6
CNU,2018,Kwangpyoungok,Rotary,276,2.45,0.023,0.063,0.038,0.417,0.58,0.83,0.62,0.56
CNU,2018,Kwangpyoungok,Rotary,285,1.98,0.025,0.067,0.04,0.406,0.57,0.82,0.6,0.55
CNU,2018,Kwangpyoungok,Rotary,294,1.91,0.017,0.051,0.029,0.356,0.5,0.85,0.6,0.53
CNU,2018,Kwangpyoungok,Rotary+tillage,227,0.52,0.077,0.161,0.169,0.321,0.21,0.31,0.23,0.22
CNU,2018,Kwangpyoungok,Rotary+tillage,234,1.19,0.054,0.119,0.104,0.381,0.42,0.57,0.43,0.4
CNU,2018,Kwangpyoungok,Rotary+tillage,241,1.66,0.024,0.065,0.037,0.342,0.48,0.8,0.56,0.49
CNU,2018,Kwangpyoungok,Rotary+tillage,249,2.23,0.02,0.051,0.027,0.35,0.5,0.85,0.6,0.52
CNU,2018,Kwangpyoungok,Rotary+tillage,262,2.68,0.018,0.043,0.023,0.41,0.59,0.89,0.65,0.59
CNU,2018,Kwangpyoungok,Rotary+tillage,276,2.39,0.023,0.064,0.037,0.415,0.59,0.84,0.62,0.56
CNU,2018,Kwangpyoungok,Rotary+tillage,285,2,0.024,0.07,0.04,0.405,0.57,0.82,0.6,0.55
CNU,2018,Kwangpyoungok,Rotary+tillage,294,1.81,0.021,0.058,0.038,0.342,0.47,0.8,0.56,0.49
CNU,2018,Kwangpyoungok,Rotary+tillage,227,0.53,0.073,0.153,0.156,0.327,0.24,0.36,0.27,0.25
CNU,2018,Kwangpyoungok,Rotary+tillage,234,1.13,0.05,0.112,0.092,0.386,0.46,0.62,0.46,0.43
CNU,2018,Kwangpyoungok,Rotary+tillage,241,1.74,0.024,0.067,0.038,0.371,0.52,0.81,0.58,0.52
CNU,2018,Kwangpyoungok,Rotary+tillage,249,2.22,0.02,0.052,0.026,0.398,0.58,0.88,0.64,0.57
CNU,2018,Kwangpyoungok,Rotary+tillage,262,2.87,0.019,0.048,0.027,0.411,0.59,0.88,0.64,0.58
CNU,2018,Kwangpyoungok,Rotary+tillage,276,2.67,0.018,0.049,0.027,0.383,0.55,0.87,0.63,0.56
CNU,2018,Kwangpyoungok,Rotary+tillage,285,2.33,0.022,0.058,0.034,0.385,0.54,0.84,0.61,0.54
CNU,2018,Kwangpyoungok,Rotary+tillage,294,2.03,0.026,0.076,0.041,0.482,0.69,0.84,0.65,0.61
CNU,2018,Kwangpyoungok,Rotary,227,0.59,0.071,0.147,0.147,0.347,0.29,0.4,0.31,0.28
CNU,2018,Kwangpyoungok,Rotary,234,1.23,0.045,0.1,0.084,0.376,0.44,0.63,0.47,0.43
CNU,2018,Kwangpyoungok,Rotary,241,1.75,0.021,0.057,0.029,0.391,0.57,0.86,0.62,0.56
CNU,2018,Kwangpyoungok,Rotary,249,2.31,0.019,0.052,0.025,0.413,0.6,0.89,0.65,0.59
CNU,2018,Kwangpyoungok,Rotary,262,3.07,0.019,0.046,0.025,0.43,0.62,0.89,0.66,0.6
CNU,2018,Kwangpyoungok,Rotary,276,2.59,0.021,0.058,0.035,0.451,0.64,0.86,0.64,0.6
CNU,2018,Kwangpyoungok,Rotary,285,2.29,0.026,0.069,0.038,0.44,0.63,0.84,0.63,0.58
CNU,2018,Kwangpyoungok,Rotary,294,2.11,0.024,0.059,0.041,0.427,0.58,0.82,0.61,0.56
CNU,2021,Kangil,1-Jan,159,0.41,0.03,0.09,0.06,0.3,0.4,0.68,0.47,0.41
CNU,2021,Kangil,2-Jan,159,0.42,0.03,0.09,0.06,0.25,0.3,0.59,0.39,0.33
CNU,2021,Kangil,3-Jan,159,0.42,0.04,0.1,0.09,0.24,0.26,0.48,0.32,0.28
CNU,2021,Kangil,4-Jan,159,0.43,0.03,0.09,0.07,0.26,0.3,0.57,0.38,0.32
CNU,2021,Dream,1-Jan,159,0.47,0.03,0.08,0.05,0.28,0.38,0.69,0.46,0.4
CNU,2021,Dream,2-Jan,159,0.38,0.03,0.08,0.05,0.23,0.3,0.63,0.4,0.33
CNU,2021,Dream,3-Jan,159,0.47,0.04,0.11,0.09,0.26,0.28,0.5,0.34,0.29
CNU,2021,Dream,4-Jan,159,0.48,0.03,0.08,0.06,0.25,0.33,0.64,0.42,0.36
CNU,2021,Daeryuk,1-Jan,159,0.41,0.03,0.09,0.07,0.29,0.35,0.61,0.42,0.37
CNU,2021,Daeryuk,2-Jan,159,0.36,0.03,0.09,0.06,0.26,0.34,0.65,0.43,0.36
CNU,2021,Daeryuk,3-Jan,159,0.8,0.03,0.09,0.06,0.3,0.39,0.65,0.45,0.39
CNU,2021,Daeryuk,4-Jan,159,0.86,0.03,0.08,0.05,0.33,0.46,0.76,0.53,0.47
CNU,2021,Kangil,1-Jan,178,1.6,0.02,0.07,0.03,0.43,0.64,0.88,0.65,0.59
CNU,2021,Kangil,2-Jan,178,1.69,0.02,0.07,0.03,0.43,0.64,0.88,0.65,0.6
CNU,2021,Kangil,3-Jan,178,1.44,0.02,0.07,0.03,0.38,0.56,0.85,0.61,0.55
CNU,2021,Kangil,4-Jan,178,1.73,0.02,0.06,0.02,0.39,0.59,0.88,0.64,0.57
CNU,2021,Dream,1-Jan,178,1.64,0.02,0.07,0.03,0.48,0.72,0.89,0.68,0.63
CNU,2021,Dream,2-Jan,178,1.57,0.02,0.07,0.03,0.45,0.67,0.87,0.65,0.6
CNU,2021,Dream,3-Jan,178,1.48,0.03,0.08,0.04,0.36,0.53,0.81,0.58,0.51
CNU,2021,Dream,4-Jan,178,1.96,0.02,0.07,0.03,0.38,0.57,0.86,0.62,0.55
CNU,2021,Daeryuk,1-Jan,178,1.48,0.02,0.07,0.03,0.39,0.58,0.88,0.63,0.56
CNU,2021,Daeryuk,2-Jan,178,1.29,0.02,0.06,0.03,0.38,0.56,0.86,0.62,0.55
CNU,2021,Daeryuk,3-Jan,178,1.6,0.02,0.06,0.03,0.4,0.6,0.88,0.64,0.58
CNU,2021,Daeryuk,4-Jan,178,2,0.01,0.06,0.02,0.41,0.61,0.9,0.65,0.59
CNU,2021,Kangil,1-Jan,195,2.54,0.02,0.06,0.02,0.41,0.61,0.89,0.65,0.59
CNU,2021,Kangil,2-Jan,195,2.4,0.02,0.06,0.03,0.46,0.67,0.87,0.66,0.61
CNU,2021,Kangil,3-Jan,195,2.38,0.02,0.07,0.03,0.46,0.69,0.88,0.67,0.62
CNU,2021,Kangil,4-Jan,195,2.46,0.02,0.07,0.03,0.47,0.69,0.87,0.66,0.61
CNU,2021,Dream,1-Jan,195,2.29,0.02,0.07,0.03,0.46,0.68,0.87,0.66,0.61
CNU,2021,Dream,2-Jan,195,2.17,0.02,0.08,0.03,0.46,0.69,0.86,0.65,0.61
CNU,2021,Dream,3-Jan,195,1.96,0.02,0.08,0.04,0.42,0.6,0.82,0.61,0.56
CNU,2021,Dream,4-Jan,195,2.18,0.02,0.08,0.03,0.45,0.67,0.86,0.65,0.6
CNU,2021,Daeryuk,1-Jan,195,2.24,0.02,0.06,0.03,0.4,0.59,0.86,0.63,0.57
CNU,2021,Daeryuk,2-Jan,195,1.78,0.02,0.07,0.03,0.44,0.65,0.87,0.65,0.6
CNU,2021,Daeryuk,3-Jan,195,2.18,0.02,0.07,0.03,0.45,0.66,0.88,0.66,0.61
CNU,2021,Daeryuk,4-Jan,195,2.21,0.01,0.05,0.03,0.41,0.6,0.88,0.64,0.58
CNU,2021,Kangil,1-Jan,204,2.57,0.02,0.07,0.03,0.41,0.6,0.85,0.63,0.57
CNU,2021,Kangil,2-Jan,204,2.49,0.02,0.07,0.04,0.43,0.63,0.84,0.63,0.58
CNU,2021,Kangil,3-Jan,204,2.19,0.02,0.07,0.03,0.43,0.63,0.87,0.64,0.59
CNU,2021,Kangil,4-Jan,204,2.47,0.02,0.07,0.03,0.42,0.63,0.87,0.64,0.58
CNU,2021,Dream,1-Jan,204,2.16,0.02,0.08,0.04,0.45,0.65,0.83,0.63,0.59
CNU,2021,Dream,2-Jan,204,2,0.02,0.07,0.03,0.46,0.68,0.87,0.65,0.61
CNU,2021,Dream,3-Jan,204,1.99,0.02,0.07,0.03,0.43,0.64,0.86,0.64,0.59
CNU,2021,Dream,4-Jan,204,2.38,0.02,0.07,0.03,0.44,0.65,0.86,0.64,0.59
CNU,2021,Daeryuk,1-Jan,204,2.06,0.02,0.07,0.04,0.43,0.62,0.84,0.63,0.58
CNU,2021,Daeryuk,2-Jan,204,1.89,0.02,0.06,0.03,0.42,0.62,0.87,0.64,0.58
CNU,2021,Daeryuk,3-Jan,204,2.23,0.03,0.09,0.05,0.48,0.68,0.81,0.62,0.59
CNU,2021,Daeryuk,4-Jan,204,2.39,0.02,0.08,0.03,0.51,0.75,0.87,0.67,0.64
CNU,2021,Kangil,1-Jan,209,2.23,0.02,0.08,0.04,0.46,0.66,0.84,0.63,0.59
CNU,2021,Kangil,2-Jan,209,2.44,0.02,0.07,0.03,0.41,0.59,0.84,0.62,0.56
CNU,2021,Kangil,3-Jan,209,2.04,0.03,0.08,0.05,0.46,0.66,0.82,0.62,0.58
CNU,2021,Kangil,4-Jan,209,2.34,0.02,0.08,0.04,0.44,0.64,0.83,0.63,0.58
CNU,2021,Dream,1-Jan,209,2.1,0.03,0.08,0.04,0.37,0.53,0.78,0.57,0.5
CNU,2021,Dream,2-Jan,209,1.95,0.02,0.07,0.05,0.4,0.55,0.79,0.58,0.53
CNU,2021,Dream,3-Jan,209,1.98,0.02,0.08,0.05,0.38,0.53,0.78,0.57,0.51
CNU,2021,Dream,4-Jan,209,2.17,0.03,0.09,0.05,0.44,0.61,0.79,0.6,0.55
CNU,2021,Daeryuk,1-Jan,209,1.97,0.02,0.06,0.04,0.36,0.5,0.81,0.57,0.51
CNU,2021,Daeryuk,2-Jan,209,1.92,0.02,0.08,0.04,0.42,0.6,0.83,0.61,0.56
CNU,2021,Daeryuk,3-Jan,209,2.14,0.02,0.07,0.04,0.38,0.54,0.82,0.59,0.53
CNU,2021,Daeryuk,4-Jan,209,2.19,0.02,0.07,0.03,0.43,0.64,0.88,0.65,0.59
CNU,2021,Kangil,1-Jan,217,2.36,0.03,0.08,0.05,0.38,0.52,0.77,0.56,0.5
CNU,2021,Kangil,2-Jan,217,2.22,0.02,0.08,0.04,0.42,0.59,0.81,0.6,0.55
CNU,2021,Kangil,3-Jan,217,2.19,0.03,0.09,0.06,0.42,0.58,0.77,0.57,0.53
CNU,2021,Kangil,4-Jan,217,2.33,0.03,0.09,0.05,0.44,0.63,0.81,0.61,0.56
CNU,2021,Dream,1-Jan,217,2.36,0.03,0.09,0.06,0.42,0.58,0.76,0.57,0.52
CNU,2021,Dream,2-Jan,217,1.87,0.03,0.09,0.06,0.39,0.52,0.73,0.54,0.49
CNU,2021,Dream,3-Jan,217,2.07,0.03,0.09,0.05,0.39,0.54,0.76,0.56,0.51
CNU,2021,Dream,4-Jan,217,2.24,0.02,0.08,0.05,0.42,0.6,0.8,0.6,0.55
CNU,2021,Daeryuk,1-Jan,217,2.11,0.02,0.07,0.04,0.35,0.51,0.8,0.57,0.5
CNU,2021,Daeryuk,2-Jan,217,1.69,0.02,0.07,0.04,0.37,0.54,0.82,0.59,0.53
CNU,2021,Daeryuk,3-Jan,217,2.25,0.02,0.07,0.04,0.38,0.53,0.81,0.58,0.52
CNU,2021,Daeryuk,4-Jan,217,2.23,0.02,0.07,0.04,0.41,0.6,0.84,0.62,0.56
CNU,2021,Kangil,1-Jan,228,1.99,0.03,0.09,0.05,0.42,0.58,0.78,0.58,0.53
CNU,2021,Kangil,2-Jan,228,2.12,0.03,0.1,0.07,0.39,0.49,0.69,0.51,0.47
CNU,2021,Kangil,3-Jan,228,1.91,0.03,0.11,0.05,0.41,0.61,0.77,0.58,0.53
CNU,2021,Kangil,4-Jan,228,2.21,0.02,0.07,0.04,0.33,0.47,0.79,0.55,0.48
CNU,2021,Dream,1-Jan,228,1.8,0.03,0.09,0.06,0.33,0.44,0.7,0.5,0.44
CNU,2021,Dream,2-Jan,228,1.68,0.03,0.1,0.06,0.36,0.48,0.7,0.51,0.46
CNU,2021,Dream,3-Jan,228,1.71,0.03,0.1,0.06,0.34,0.46,0.7,0.5,0.44
CNU,2021,Dream,4-Jan,228,1.96,0.03,0.09,0.06,0.33,0.44,0.7,0.5,0.44
CNU,2021,Daeryuk,1-Jan,228,1.58,0.02,0.08,0.07,0.27,0.31,0.6,0.41,0.35
CNU,2021,Daeryuk,2-Jan,228,1.52,0.02,0.09,0.06,0.34,0.45,0.7,0.5,0.44
CNU,2021,Daeryuk,3-Jan,228,1.61,0.03,0.1,0.08,0.34,0.43,0.63,0.46,0.41
CNU,2021,Daeryuk,4-Jan,228,1.8,0.02,0.07,0.06,0.31,0.37,0.66,0.46,0.4
